organisms,counts
Janibacter indicus,2
Mycobacterium sp. UM_Kg27,3
Candidatus Rothia avicola,3
Micromonospora jinlongensis,2
Dietzia sp. ANT_WB102,3
Saccharopolyspora phatthalungensis,2
Streptomyces nodosus,2
Amycolatopsis sp. WAC 04182,4
Microbacterium sp. TPD7012,3
Pseudokineococcus lusitanus,2
Rhodococcus sp. CUA-806,3
Brevibacterium senegalense,2
Nocardioides carbamazepini,2
Streptomyces paucisporeus,2
Rhodococcus sp. B10,3
Streptomyces sp. MBT42,3
Ornithinibacter aureus,2
Streptomyces sp. CWNU-1,3
Planotetraspora sp. A-T 1434,4
Dietzia alimentaria,2
Spirillospora albida,2
Agromyces soli,2
Streptomyces sp. NWU49,3
Demequina mangrovi,2
Terrabacter sp. 28,3
Nonomuraea wenchangensis,2
Bifidobacteriaceae bacterium MCC01983,3
Arthrobacter sp. NicSoilB8,3
Streptomyces sp. 7-21,3
Mycobacterium sp. UM_NZ2,3
Arthrobacter sp. Soil764,3
Streptomyces sp. NBS 14/10,4
Cellulomonas endophytica,2
Actinotignum schaalii,2
Leifsonia sp. ALI-44-B,3
Streptomyces plumbidurans,2
Dermabacter sp. p3-SID358,3
Actinopolymorpha pittospori,2
Cryobacterium sp. TMT2-15-1,3
Streptomyces nymphaeiformis,2
Micromonospora sp. MMS20-R2-23,3
Catellatospora sp. IY07-71,3
Nocardioides sediminis,2
Streptomyces sp. ZL-24,3
Streptomyces sp. CB01635,3
Micrococcales bacterium 31B,3
Actinocrinis puniceicyclus,2
Williamsia deligens,2
Actinomadura meyerae,2
Micromonospora sp. 15K316,3
Gordonia otitidis,2
Streptomyces sp. NRRL B-1140,4
Blastococcus sp. TF02A_35,3
Nocardia alba,2
Microbispora rosea,2
Dactylosporangium sucinum,2
Actinoplanes sp. DH11,3
Catenulispora pinisilvae,2
Corynebacterium sp. LK22,3
Actinomyces sp. Z5,3
Corynebacterium terpenotabidum Y-11,3
Micromonospora sp. MMS20-R2-29,3
Actinomadura bangladeshensis,2
Cellulomonas sp.,2
Mycobacterium syngnathidarum,2
Nonomuraea jabiensis,2
Rathayibacter sp. AY1H3,3
Nocardioides sp. zg-1230,3
Leucobacter luti,2
Blastococcus sp. TF02A-26,3
Kribbella pittospori,2
Streptomyces parvus,2
Cryobacterium sp. BB307,3
unclassified Mumia,2
Streptomyces boluensis,2
Microcella sp. MMS21-STM10,3
Brachybacterium sp. Z12,3
Kitasatospora sp. MMS16-BH015,3
Cryobacterium sp. Y57,3
Kibdelosporangium banguiense,2
Tessaracoccus aquimaris,2
unclassified Clavibacter,2
Mycobacterium sp. 20-66-4,3
Mycolicibacterium sp. 018/SC-01/001,3
Mycobacterium persicum,2
Leifsonia sp. Leaf325,3
Nocardioides sp. GY 10113,4
Okibacterium fritillariae,2
Nocardioides rotundus,2
Bifidobacterium merycicum,2
Rhodococcus sp. NCIMB 12038,4
Amycolatopsis decaplanina DSM 44594,4
Streptomyces albireticuli,2
Actinokineospora baliensis,2
Sediminihabitans luteus,2
Actinomyces sp. ICM39,3
Agromyces laixinhei,2
Streptomyces adelaidensis,2
Streptomyces armeniacus,2
Streptomyces sp. NRRL B-24484,4
Jiangella sp. DSM 45060,4
Arthrobacter sp. AK01,3
Tessaracoccus antarcticus,2
Streptomyces sp. 13-12-16,3
Arthrobacter sp. MYb227,3
Streptomyces fumigatiscleroticus,2
Nocardioides lacusdianchii,2
Propionibacterium ruminifibrarum,2
Kineococcus radiotolerans SRS30216 = ATCC BAA-149,6
Rhodococcus sp. OK302,3
Corynebacterium sp. HMSC29G08,3
Amycolatopsis lexingtonensis,2
Agromyces sp. Root1464,3
Microbispora sp. ATCC PTA-5024,4
Actinoplanes lutulentus,2
Pseudarthrobacter sp. ATCC 49987,4
Mycobacterium sp. 1164985.4,3
Streptomyces polychromogenes,2
Streptomyces diacarni,2
Saccharopolyspora gloriosae,2
Brachybacterium alimentarium,2
Streptomyces sp. TLI_185,3
Cutibacterium acnes P6,3
Mycobacterium frederiksbergense,2
unclassified Sinomonas,2
Gordonia alkanivorans,2
