"Sequence",0,1,2
"246196_Mycolicibacterium_smegmatis_MC155-Mycolicibacterium",-7.5545907,7.1359916,-1.4084134
"1772_Mycolicibacterium_smegmatis-Mycolicibacterium",-7.5545907,7.1359916,-1.4084134
"639313_Hoyosella_subflava-Hoyosella",-6.7191496,-4.9364057,-10.702445
"339268_Mycobacterium_colombiense-Mycobacterium",7.1977525,-0.09635554,11.994257
"44010_Mycobacterium_conspicuum-Mycobacterium",6.7930737,-0.5503578,1.782074
"1775_Mycobacterium_cookii-Mycobacterium",3.3191137,-1.8605485,-2.5231614
"1801_Mycobacterium_diernhoferi-Mycobacterium",-7.013624,5.5692596,-4.6717854
"126673_Mycobacterium_doricum-Mycolicibacterium",-7.0539207,6.9530063,4.522936
"292462_Mycobacterium_florentinum-Mycobacterium",6.7209706,-0.2895022,7.276769
"134601_Mycobacterium_goodii-Mycobacterium",-7.5958743,7.011617,-1.3409454
"1778_Mycobacterium_gordonae-Mycobacterium",7.4167213,2.3864682,-3.9875336
"1552759_Mycobacterium_grossiae-Mycobacterium",-6.949875,5.811883,-2.536705
"29311_Mycobacterium_haemophilum-Mycobacterium",6.7847857,-0.71277565,1.2424146
"110505_Mycobacterium_heckeshornense-Mycobacterium",3.7413478,-2.7561665,-5.301458
"53376_Mycobacterium_heidelbergense-Mycobacterium",6.8941183,0.8192163,0.6317723
"512402_Mycobacterium_heraklionense-Mycobacterium",-4.8083696,-9.543141,-1.1270862
"152142_Mycobacterium_holsaticum-Mycobacterium",-6.578012,7.4490128,0.010486424
"1767_Mycobacterium_intracellulare-Mycobacterium",6.9875197,-0.062214036,11.142298
"1768_Mycobacterium_kansasii-Mycobacterium",7.9578595,0.497363,-7.720805
"1069220_Mycobacterium_koreense-Mycobacterium",-3.893904,-2.5155532,-1.7335762
"120959_Mycobacterium_kubicae-Mycobacterium",5.2155437,0.26955953,1.5146788
"169765_Mycobacterium_lacus-Mycobacterium",7.620272,0.6868727,-2.6571271
"141349_Mycobacterium_lentiflavum-Mycobacterium",6.835743,-0.3461047,7.2532735
"1769_Mycobacterium_leprae-Mycobacterium",6.5382533,-0.9894523,0.1956973
"480418_Mycobacterium_lepromatosis-Mycobacterium",6.3346176,-0.8671506,1.1058763
"1780_Mycobacterium_malmoense-Mycobacterium",6.578117,0.5388675,1.8804255
"560555_Mycobacterium_mantenii-Mycobacterium",7.13764,0.04937663,11.848101
"701042_Mycobacterium_marseillense-Mycobacterium",7.0965924,-0.16202047,11.021845
"459858_Mycobacterium_noviomagense-Mycobacterium",3.6562006,-3.4954185,-6.7089887
"2738409_Mycobacterium_ostraviense-Mycobacterium",8.142747,1.4156451,-2.758688
"590652_Mycobacterium_paraseoulense-Mycobacterium",7.4258146,0.07108836,9.577031
"577492_Mycobacterium_paraterrae-Mycobacterium",2.6825833,-0.63919586,-3.9329882
"185642_Mycobacterium_parmense-Mycobacterium",7.4305763,-1.0780294,7.828366
"220927_Mycobacterium_saskatchewanense-Mycobacterium",6.7814126,0.8748369,5.932327
"386911_Mycobacterium_seoulense-Mycobacterium",7.463156,-0.058858074,5.1497946
"722731_Mycobacterium_shigaense-Mycobacterium",7.9489627,0.19555399,4.8503695
"398694_Mycobacterium_shinjukuense-Mycobacterium",7.4388795,2.3368475,-5.881191
"1784_Mycobacterium_simiae-Mycobacterium",7.1381354,-0.67936605,9.3812065
"886343_Mycobacterium_spongiae-Mycobacterium",6.8733945,0.99846137,-2.3813825
"470076_Mycobacterium_stomatepiae-Mycobacterium",6.813055,-0.61103565,6.780766
"1719132_Mycobacterium_vicinigordonae-Mycobacterium",6.5823874,0.5321776,-4.568267
"1795032_Mycobacterium_virginiense-Mycobacterium",-5.0341835,-9.574172,-1.3201376
"1789_Mycobacterium_xenopi-Mycobacterium",3.9627306,-1.6622413,-5.4663224
"36809_Mycobacteroides_abscessus-Mycobacteroides",-5.6161427,-9.024145,-16.755972
